Order_Date,Purchase_Price_Per_Unit,Quantity,Shipping_Address_State,Title,ASIN_ISBN_Product_Code,Category,Survey_ResponseID
2019-10-06,50.0,1.0,,Best Buy Gift Cards - Email Delivery,B07RTN4C77,GIFT_CARD,R_01vNIayewjIIKMF
2020-08-01,25.0,1.0,,Amazon.com Gift Card Balance Reload,B00IX1I3G6,GIFT_CARD,R_01vNIayewjIIKMF
2020-10-30,50.0,1.0,,Amazon.com Gift Card Balance Reload,B00IX1I3G6,GIFT_CARD,R_037XK72IZBJyF69
2021-01-04,200.0,1.0,,Amazon.com Gift Card Balance Reload,B00IX1I3G6,GIFT_CARD,R_037XK72IZBJyF69
2020-04-30,25.0,2.0,,Amazon.com eGift Card,B07PCMWTSG,GIFT_CARD,R_037XK72IZBJyF69
2019-07-31,11.04,1.0,,"MIU COLOR Pet Grooming Brush, Deshedding Tool for Dogs & Cats, Effectively Reduces Shedding by up to 95% for Short Medium and Long Pet Hair",B00DM1DDBW,PET_SUPPLIES,R_037XK72IZBJyF69
2020-06-26,62.98,1.0,,"Cold Steel 21ST Spartan, 4.5""",B07F49C7JD,SPORTING_GOODS,R_038ZU6kfQ5f89fH
2021-03-31,69.95,1.0,,Fleshlight Turbo | Thrust | Blue Ice Blowjob Simulator,B01N6SEX6X,SEXUAL_STIMULATION_DEVICE,R_038ZU6kfQ5f89fH
2021-03-25,17.88,1.0,,"SogYupk 2 Pack Controller Replacement for Gamecube Controller,Wired Controllers Classic Gamepad Compatible with Nintendo and Wii Console Game Remote(Red& Purple)",B08CB72XLN,VIDEO_GAME_CONTROLLER,R_038ZU6kfQ5f89fH
2022-02-19,18.0,1.0,,Amazon.com Print at Home Gift Card,B09NKLXZ5V,GIFT_CARD,R_03aEbghUILs9NxD
2021-04-04,26.99,1.0,,MOLYBELL One Piece Swimsuits for Women High Waisted Bathing Suit Monokini Floral Print Cutout Racerback Zip Up,B087BFNK6N,SWIMWEAR,R_085qq7w0pkhowox
2020-05-07,75.0,1.0,,Amazon eGift Card - Thanks for your Hard Work,B01N9GYTOG,GIFT_CARD,R_085qq7w0pkhowox
2019-02-03,50.0,1.0,,Amazon.com Gift Card Balance Auto-Reload,B00QSV1A8Q,GIFT_CARD,R_0BCm9hRP9iTI081
2019-07-22,50.0,1.0,,Amazon.com Gift Card Balance Auto-Reload,B00QSV1A8Q,GIFT_CARD,R_0BCm9hRP9iTI081
2019-03-29,50.0,1.0,,Amazon.com Gift Card Balance Auto-Reload,B00QSV1A8Q,GIFT_CARD,R_0BCm9hRP9iTI081
2022-05-11,20.0,1.0,,Amazon Reload,B086KKT3RX,ABIS_GIFT_CARD,R_0DoXqOQl0hxEeFH
2022-04-28,20.0,1.0,,Amazon Reload,B086KKT3RX,ABIS_GIFT_CARD,R_0DoXqOQl0hxEeFH
2018-03-19,3.83,1.0,,Monoprice 18-Inch SATA III 6.0 Gbps Cable with Locking Latch and 90-Degree Plug - Blue,B009GUXU52,ELECTRONIC_CABLE,R_0Hzrb8hEmXavTk5
2021-04-29,14.99,1.0,,TCK Elite Performance Baseball Socks Dugout Softball Mens Womens,B07BHRGR77,SOCKS,R_0Hzrb8hEmXavTk5
2022-02-17,31.0,1.0,,Amazon Reload,B086KKT3RX,ABIS_GIFT_CARD,R_0IBgnbXoP4Uvvhv
2020-05-02,4.97,1.0,,"Clean & Clear Morning Burst Hydrating Gel Face Moisturizer with Cucumber & Green Mango Extract, Oil-Free Daily Facial Moisturizer for Acne-Prone Skin Care, Non-Greasy & Non-Comedogenic, 3 oz",B00EQWWYQ6,SKIN_MOISTURIZER,R_0TXaBMuEhEzmPVD
2020-06-29,1.0,1.0,,Group Gifting Baby Registry Contribution,B07F4F8N6Z,GIFT_CARD,R_0TXaBMuEhEzmPVD
2020-07-06,2.0,1.0,,Group Gifting Baby Registry Contribution,B07F4F8N6Z,GIFT_CARD,R_0TXaBMuEhEzmPVD
2020-06-25,3.39,1.0,,"Glade Candle Jar, Air Freshener, Hawaiian Breeze, 3.4 Oz",B01ABVK03E,CANDLE,R_0TXaBMuEhEzmPVD
2022-04-05,21.95,1.0,,American Soy Organics- 5 lb of Freedom Soy Wax Beads for Candle Making – Microwavable Soy Wax Beads – Premium Soy Candle Making Supplies,B0855LRHQ7,INDUSTRIAL_HOSE,R_0TXaBMuEhEzmPVD
2020-05-19,5.0,1.0,,Group Gifting Baby Registry Contribution,B07F4F8N6Z,GIFT_CARD,R_0TXaBMuEhEzmPVD
2020-06-29,1.51,1.0,,Group Gifting Baby Registry Contribution,B07F4F8N6Z,GIFT_CARD,R_0TXaBMuEhEzmPVD
2022-03-10,4.99,1.0,,"Faccito 240 Pieces Marble Thank You Cards Gold Foil Thank You Card Colorful Thanks Blank Note Cards Appreciation Greeting Card for Business Wedding Birthday Baby Shower, 6 Styles, 2 x 3.5 Inch",B0972Z85L3,GREETING_CARD,R_0TXaBMuEhEzmPVD
2020-06-18,15.97,1.0,,"ALPINE HARDWARE Outdoor Window AC Covers [Window Air Conditioner Protection Cover] (Black, 17"" x 25"" x 21"")",B081579QPC,STORAGE_COVER,R_0TXaBMuEhEzmPVD
